name,address,gu_name,latitude,longitude
GS타워,서울특별시 강남구 논현로 508 (역삼동),강남구,37.5018592,127.0372776
SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",강남구,37.490298,127.054895
W-Mall,서울특별시 금천구 디지털로 188 (가산동),금천구,37.47730499,126.8876908
가든파이브,서울특별시 송파구 충민로 10 (문정동) 가든파이브툴,송파구,37.4782316,127.1193703
가락본동,서울특별시 송파구 송파대로30길 13 (가락동),송파구,37.494895,127.118785
가락시장역,"서울특별시 송파구 중대로 121, 롯데캐슬 파인힐 1층 (가락동)",송파구,37.494299,127.121354
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",강남구,37.5231593,127.021625
가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",금천구,37.4794491,126.8874768
가산디지털,서울특별시 금천구 가산디지털1로 168 (가산동),금천구,37.4798346,126.8824997
가산디지털단지역,서울특별시 금천구 벚꽃로 298 (가산동),금천구,37.481324,126.883779
가산브이타워,서울특별시 금천구 가산디지털1로 128 (가산동),금천구,37.477221,126.883683
가산에스케이,서울특별시 금천구 가산디지털1로 171 (가산동),금천구,37.48061318,126.8805702
가양역,서울특별시 강서구 양천로 476 (등촌동),강서구,37.56164,126.853327
가양이마트,"서울특별시 강서구 양천로 559, 가양이마트 1층 (가양동)",강서구,37.5578966,126.8622978
가재울뉴타운,서울 서대문구 가재울미래로 2 ,서대문구,37.5749841,126.9164441
강남2,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)",서초구,37.5000875,127.0254909
강남GT타워,"서울특별시 서초구 서초대로 411, GT타워 (서초동)",서초구,37.498056,127.025833
강남R,서울특별시 강남구 강남대로 390 (역삼동),강남구,37.497711,127.028439
강남교보타워R,서울특별시 서초구 강남대로 465 (서초동),서초구,37.503789,127.024075
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",강남구,37.5165849,127.0412433
강남구청정문,서울특별시 강남구 학동로 419 (청담동),강남구,37.518181,127.045995
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",강남구,37.50314,127.025546
강남대로논현R,서울특별시 서초구 강남대로85길 5 (반포동),서초구,37.507413,127.022568
강남대로신사,서울특별시 서초구 강남대로 595 (잠원동),서초구,37.51489,127.019469
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",강남구,37.4964557,127.0296885
강남삼성타운,서울특별시 서초구 서초대로78길 24 (서초동),서초구,37.49562035,127.0277144
강남에비뉴,"서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동)",서초구,37.5027,127.023894
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),강남구,37.502117,127.026672
강남우성,서울특별시 강남구 강남대로 328 (역삼동),강남구,37.492396,127.03091
강동구청DT,서울특별시 강동구 성내로 32 (성내동),강동구,37.529437,127.123835
강동암사DT,서울특별시 강동구 고덕로 43 (암사동),강동구,37.555054,127.130065
강동역,"서울특별시 강동구 천호대로 1089 (천호동, 강동 헤르셔)",강동구,37.536047,127.133086
강변역,서울특별시 광진구 구의강변로 64 (구의동) 구의아크로리버,광진구,37.536155,127.093086
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),강북구,37.6400354,127.0273766
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),종로구,37.568546,126.96756
갤러리아팰리스,"서울특별시 송파구 올림픽로 212, 갤러리아 팰리스 (잠실동)",송파구,37.51108365,127.0938059
건국대,서울특별시 광진구 능동로 117 (화양동),광진구,37.5415592,127.0711244
건국클래식,서울특별시 광진구 능동로 90 (자양동) 더 클래식500,광진구,37.538466,127.071271
건대스타시티,서울특별시 광진구 아차산로 262 (자양동),광진구,37.538544,127.073009
건대입구,서울특별시 광진구 능동로 107 (화양동),광진구,37.5406604,127.0707225
경기대,서울특별시 서대문구 충정로 53 (충정로2가),서대문구,37.56367995,126.9646045
경복궁사거리,"서울특별시 종로구 율곡로 6, B동 101호(중학동, 트윈트리타워)",종로구,37.575578,126.980581
경복궁역,"서울특별시 종로구 자하문로4길 6, 1층 (통의동)",종로구,37.5771508,126.9727453
경희궁로,서울특별시 종로구 새문안로3길 15 (당주동),종로구,37.571759,126.972343
경희대,서울특별시 동대문구 경희대로 16-1 (회기동),동대문구,37.5928812,127.0528085
경희대삼거리,서울특별시 동대문구 회기로 141 (회기동),동대문구,37.591531,127.052017
고대,서울특별시 성북구 고려대로 24길 51 (안암동5가),성북구,37.58397192,127.0297352
공덕,서울특별시 마포구 마포대로 130 (공덕동),마포구,37.545913,126.952956
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,마포구,37.5424641,126.9505773
공릉DT,서울특별시 노원구 동일로 1015 (공릉동),노원구,37.6206884,127.0743116
공릉역,서울특별시 노원구 동일로 1081 (공릉동),노원구,37.626337,127.072252
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동),관악구,37.479343,126.95278
광교,서울특별시 종로구 청계천로 59 (관철동),종로구,37.568928,126.9842163
광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",광진구,37.547442,127.105934
광운대,서울특별시 노원구 석계로 104 (월계동),노원구,37.6231479,127.0607009
광장,서울특별시 광진구 아차산로 537-17 (광장동),광진구,37.542518,127.099651
광화문D타워,서울특별시 종로구 종로3길 17 (청진동) D타워,종로구,37.5714,126.9788297
광화문R,"서울특별시 종로구 세종대로 167, 현대해상본사사옥 별관내 (세종로)",종로구,37.5712293,126.9762872
광화문우체국,서울특별시 종로구 종로 6 (서린동),종로구,37.569854,126.978083
교대,서울특별시 서초구 서초중앙로 118 (서초동),서초구,37.4923611,127.0142207
교대법원,서울특별시 서초구 서초중앙로 164 (서초동),서초구,37.496329,127.013336
교대역,서울특별시 서초구 서초중앙로 138 (서초동) 우림빌딩,서초구,37.494207,127.01394
구로디지털로,"서울특별시 구로구 디지털로33길 11, 에이스테크노8차 1층 (구로동)",구로구,37.485911,126.895587
구로디지털타워,서울특별시 구로구 디지털로32길 30 (구로동),구로구,37.483432,126.89648
구로에이스,"서울특별시 구로구 디지털로 285, 에이스트윈타워1차 103호 (구로동)",구로구,37.48448329,126.8944957
구로하이엔드,"서울특별시 구로구 디지털로26길 5, 에이스하이엔드타워1차 103호 (구로동)",구로구,37.481618,126.893136
구로호텔,"서울특별시 구로구 디지털로32길 72, 구로호텔 1층 (구로동)",구로구,37.4831293,126.8988591
구산역,서울특별시 은평구 연서로 146 (대조동),은평구,37.611745,126.917678
구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),강남구,37.49592355,127.0388645
구의DT,서울특별시 광진구 광나루로 519 (구의동),광진구,37.5451984,127.0871587
구의역,서울특별시 광진구 아차산로 373 (구의동),광진구,37.53698,127.084015
구파발사거리,서울시 은평구 진관3로 21 은평엘크루 101동 105-108호,은평구,37.639617,126.91881
구파발역,서울특별시 은평구 진관2로 12,은평구,37.63446,126.918881
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),강남구,37.499517,127.031495
국립중앙의료원,서울특별시 중구 을지로 251 (을지로6가),중구,37.566516,127.0062376
국회대로,서울특별시 영등포구 국회대로 786 (여의도동),영등포구,37.53026,126.919549
국회의사당역,서울특별시 영등포구 의사당대로 8 (여의도동),영등포구,37.527831,126.916882
군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,광진구,37.556965,127.079032
굽은다리역,서울특별시 강동구 양재대로 1568 (명일동),강동구,37.545403,127.143101
금천독산,서울특별시 금천구 두산로 70 (독산동),금천구,37.46914,126.895246
금천시흥,서울특별시 금천구 시흥대로 164 (시흥동),금천구,37.448624,126.903183
금호역,서울시 성동구 동호로 99 ,성동구,37.5479939,127.0153343
기술센터,"서울특별시 강남구 테헤란로 305, 한국기술센터 1층 (역삼동)",강남구,37.50329211,127.0436409
길동사거리,"서울특별시 강동구 양재대로 1441, 1층 (길동)",강동구,37.5346536,127.1383951
길동역,서울특별시 강동구 양재대로 1487 (길동),강동구,37.5387433,127.1399879
길음역,서울특별시 성북구 정릉로 376 (돈암동),성북구,37.602139,127.025271
까치산역,서울특별시 강서구 강서로13길 3 (화곡동),강서구,37.532303,126.846077
낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동),관악구,37.476169,126.965005
낙성대역,서울특별시 관악구 남부순환로 1908 (봉천동),관악구,37.477946,126.961193
남부터미널,"서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)",서초구,37.48467334,127.0169464
남부터미널2,서울특별시 서초구 효령로 274 (서초동),서초구,37.48436736,127.0142192
남산단암,"서울특별시 중구 소월로 10, 단암빌딩 (남대문로5가)",중구,37.55853622,126.9754585
남산스테이트,서울특별시 중구 퇴계로 100 (회현동2가),중구,37.560205,126.982791
남성역,서울특별시 동작구 사당로 219 (사당동),동작구,37.4841198,126.9725739
남영동,서울특별시 용산구 한강대로 275 (갈월동),용산구,37.542831,126.972242
내방역,서울특별시 서초구 방배로 184 (방배동) 대풍빌딩,서초구,37.490004,126.992455
노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호",동작구,37.513068,126.946537
노량진역,서울특별시 동작구 노량진로 134 (노량진동),동작구,37.51339,126.940879
노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",노원구,37.654562,127.063617
노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",노원구,37.660941,127.058008
노원역,"서울특별시 노원구 동일로 1413, 1층 (상계동)",노원구,37.654751,127.060034
논현역,서울특별시 서초구 강남대로 557 (잠원동) 1~2층,서초구,37.5111983,127.0205875
논현역사거리,서울특별시 강남구 강남대로 538 (논현동),강남구,37.510178,127.022223
논현힐탑,서울특별시 강남구 논현로 648 (논현동),강남구,37.5115577,127.032262
뉴코아강남,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽,서초구,37.51031339,127.0069582
답십리역,서울특별시 동대문구 천호대로 263 (답십리동),동대문구,37.568466,127.051106
당산,서울특별시 영등포구 양평로 64 (당산동6가),영등포구,37.535164,126.899942
당산대로,서울특별시 영등포구 양평로 22 (당산동6가),영등포구,37.533121,126.903804
당산역,"서울특별시 영등포구 당산로 231, 대원빌딩 1,2층 (당산동6가)",영등포구,37.5344337,126.9018763
대명거리,서울특별시 종로구 대명길 5 (명륜4가),종로구,37.58349633,127.0011593
대우재단빌딩,서울특별시 중구 퇴계로 18 (남대문로5가),중구,37.556781,126.975081
대치,서울특별시 강남구 도곡로 511 (대치동),강남구,37.49966175,127.0622171
대치사거리,서울특별시 강남구 삼성로 402 (대치동),강남구,37.503331,127.058817
대치역,"서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 (대치동)",강남구,37.493554,127.061874
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),강남구,37.498973,127.060172
대학로,"서울특별시 종로구 대학로 57, 홍익대학교 대학로캠퍼스 內 (연건동)",종로구,37.576509,127.001449
대한극장,서울특별시 중구 퇴계로 212 (필동 2가),중구,37.56105065,126.9952735
대한상공회의소R,서울시 중구 세종대로 39 상공회의소회관 1층,중구,37.560938,126.973702
더종로R,서울특별시 종로구 종로 51 (종로2가),종로구,37.570804,126.983494
도곡공원,서울특별시 강남구 도곡로 205 (역삼동),강남구,37.492805,127.041309
도곡역,서울특별시 강남구 남부순환로 2909 (대치동),강남구,37.492167,127.057398
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)",강남구,37.5173623,127.0232957
독립문역,서울특별시 종로구 통일로 168-1 (교남동),종로구,37.571432,126.961269
독산사거리,서울특별시 금천구 시흥대로 426 (독산동),금천구,37.471511,126.898775
동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",마포구,37.556928,126.919819
동국대,서울특별시 중구 서애로 1길 11,중구,37.561542,126.998437
동대문공원,서울특별시 중구 장충단로 229 (광희동1가),중구,37.565133,127.007191
동대문두타,서울특별시 중구 장충단로 275 (을지로6가),중구,37.56892513,127.0087838
동대입구역,서울특별시 중구 장충단로 166 (장충동1가),중구,37.559593,127.006142
동묘앞역,"서울특별시 종로구 종로 344 (숭인동, 대우디오빌) 101호 일부, 201호 일부",종로구,37.5727,127.016072
동부이촌동,서울특별시 용산구 이촌로 198 (이촌동),용산구,37.52111,126.96905
동빙고,서울특별시 용산구 장문로 12 (동빙고동),용산구,37.5289857,126.991782
동숭길입구,서울특별시 종로구 대학로 146 (혜화동),종로구,37.58346,127.00219
동숭로아트,서울특별시 종로구 동숭길 110 (동숭동),종로구,37.582969,127.003876
동여의도,서울특별시 영등포구 국제금융로 86 (여의도동) 롯데캐슬 아이비,영등포구,37.5199494,126.9317957
둔촌동,서울특별시 강동구 양재대로 1303 (성내동) 평원빌딩,강동구,37.522724,127.133943
등촌,서울특별시 강서구 공항대로 329 (등촌동),강서구,37.5582043,126.8443392
등촌역,서울특별시 양천구 공항대로 566 (목동) 1층 2층,양천구,37.548884,126.86807
뚝섬역,서울특별시 성동구 아차산로 42 (성수동1가),성동구,37.546432,127.049042
롯데캐슬여의도,서울특별시 영등포구 의사당대로 127 (여의도동) 롯데캐슬앰파이어 1층 104호,영등포구,37.52025214,126.9263678
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),강남구,37.502721,127.044308
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",강서구,37.560487,126.829667
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동),강서구,37.56813,126.82614
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동),강서구,37.5605261,126.833887
마곡역,서울특별시 강서구 공항대로 168 (마곡동),강서구,37.559611,126.826298
마로니에공원,"서울특별시 종로구 대학로 116, 1-2층 (동숭동)",종로구,37.58154296,127.0023412
마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,금천구,37.478701,126.885076
마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동),마포구,37.5508,126.953432
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,마포구,37.54145556,126.948819
마포염리,서울특별시 마포구 독막로 311 (염리동),마포구,37.543876,126.94768
마포용강동,서울특별시 마포구 토정로 295 (용강동),마포구,37.541186,126.942209
마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,마포구,37.542421,126.953341
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",마포구,37.54043451,126.9463168
망원역,서울특별시 마포구 월드컵로 74 (서교동),마포구,37.555829,126.910637
명동길,서울특별시 중구 명동10길 41,중구,37.5620695,126.9858669
명동메트로,서울특별시 중구 명동9가길 14 (을지로1가) 메트로호텔,중구,37.565118,126.983681
명동미래,"서울특별시 중구 명동 7길 8, 2층 (명동 1가)",중구,37.564064,126.984487
명동센트럴,서울특별시 중구 명동9길 16 (명동1가),중구,37.564669,126.985233
명동역,"서울특별시 중구 퇴계로 101, 건물 전체 (충무로 1가)",중구,37.560832,126.983095
명동입구,서울특별시 중구 남대문로 68-1 (명동2가),중구,37.563319,126.982242
명동중앙로,서울특별시 중구 명동길 60 (명동 2가),중구,37.5637485,126.9857723
명일역,서울특별시 강동구 양재대로 1647 (명일동),강동구,37.55258,127.143799
명일이마트,서울특별시 강동구 동남로75길 5 (명일동) 명일이마트별관주차장,강동구,37.553991,127.155984
목동,서울특별시 양천구 목동서로 67 (목동) 우성에펠타운,양천구,37.53638383,126.8785597
목동5단지,"서울특별시 양천구 목동동로 411, 1동 116호(목동, 부영그린타운3차)",양천구,37.536706,126.88212
목동7단지,서울특별시 양천구 목동서로 213 (목동) 세신비젼프라자,양천구,37.528012,126.87053
목동8단지,서울특별시 양천구 목동서로 299 (신정동),양천구,37.520518,126.868841
목동역,서울특별시 양천구 목동로 203 (신정동) 1층일부,양천구,37.526684,126.863986
목동오목로,"서울특별시 양천구 오목로 279 (목동) 102,103,104,105호",양천구,37.525923,126.868438
목동파라곤,"서울특별시 양천구 목동서로 155, 목동파라곤 1층 (목동)",양천구,37.52947,126.874996
목동파리공원,서울특별시 양천구 목동동로 377 (목동),양천구,37.535336,126.878852
목동하이페리온,서울특별시 양천구 오목로 300 (목동),양천구,37.524931,126.870316
목동행복한,서울특별시 양천구 목동동로 309 (목동),양천구,37.529147,126.876099
몬테소리,서울특별시 서초구 강남대로 399 (서초동),서초구,37.4982695,127.026865
무교동,서울특별시 중구 무교로 21 (무교동) 코오롱빌딩 1층,중구,37.56781712,126.978738
묵동이마트,"서울특별시 중랑구 동일로 932, 묵동이마트 B1층 (묵동)",중랑구,37.613433,127.077484
문래동,"서울특별시 영등포구 선유로 64, 대창타운빌 1층 (문래동3가)",영등포구,37.519602,126.889652
문래역,서울특별시 영등포구 당산로 34 (문래동3가),영등포구,37.517428,126.896475
문정로데오,서울특별시 송파구 동남로 141 (가락동),송파구,37.491905,127.1262696
문정법원로R,서울특별시 송파구 송파대로 201 (문정동),송파구,37.487447,127.119164
문정역,"서울특별시 송파구 송파대로 167 (문정동)테라타워 B동 137호~139호,204호",송파구,37.484813,127.122237
문정하비오,"서울특별시 송파구 송파대로 111 (문정동, 파크하비오) 204동 104호~107호",송파구,37.481925,127.123446
문화일보,서울특별시 중구 새문안로 22 (충정로1가) 문화일보,중구,37.56712291,126.9686642
미아,서울특별시 성북구 동소문로 314 (하월곡동),성북구,37.607581,127.029303
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),강북구,37.618319,127.021072
미아사거리역,서울특별시 강북구 도봉로 32 (미아동),강북구,37.611809,127.0306971
미아역,서울특별시 강북구 도봉로 196 (미아동),강북구,37.626148,127.026578
미아이마트,서울 성북구 도봉로 17 ,성북구,37.610678,127.029921
반포역,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가,서초구,37.508589,127.011959
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,강서구,37.56033,126.839279
발산역사거리,서울특별시 강서구 공항대로 248 (마곡동),강서구,37.558509,126.835096
방배,서울특별시 서초구 방배로 211,서초구,37.491914,126.9904974
방배다이치빌딩,서울특별시 서초구 방배로 114 (방배동),서초구,37.484329,126.995872
방배로,서울특별시 서초구 방배로 52 (방배동),서초구,37.4793434,126.9994968
방배역,서울특별시 서초구 방배로 84 (방배동),서초구,37.48200755,126.9976438
방배카페거리,서울특별시 서초구 방배중앙로 162 (방배동),서초구,37.4934767,126.9865297
방이역,"서울특별시 송파구 마천로 53, 1~2층 (오금동)",송파구,37.508666,127.126569
방화DT,서울특별시 강서구 방화대로 375 (방화동),강서구,37.574339,126.816415
배곧신도시,"경기도 시흥시 서울대학로278번길 43-13 (정왕동) 106호, 107호, 108호",시흥시,37.369549,126.730301
배곧아브뉴프랑,"경기도 시흥시 서울대학로278번길 34 (정왕동)시흥배곧 아브뉴프랑 센트럴 옐로우 117,118,119,120,121호",시흥시,37.3682,126.7294
뱅뱅사거리,서울특별시 강남구 강남대로 282 (도곡동),강남구,37.488585,127.032415
보라매공원R,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",동작구,37.49226213,126.9233457
보라매대교,"서울특별시 관악구 보라매로3길 23, 대교빌딩 1층 (봉천동)",관악구,37.491449,126.925432
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),강남구,37.511293,127.048409
봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),강남구,37.515,127.063196
북촌로,서울특별시 종로구 북촌로4길 23 (계동),종로구,37.579462,126.986431
분당서울대병원1,"경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 신관 1층 (구미동)",성남시,37.3504033,127.1244617
분당서울대병원4,"경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 신관 4층 (구미동)",성남시,37.351934,127.123312
불광역,서울시 은평구 통일로 715 ,은평구,37.609382,126.9303971
사가정역,서울특별시 중랑구 면목로 310,중랑구,37.579594,127.087966
사당,서울특별시 관악구 남부순환로 2082-25,관악구,37.47601,126.980997
사당로데오,서울특별시 서초구 방배천로 5-4(방배동),서초구,37.4772752,126.9821605
사당역,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)",동작구,37.47849216,126.9813456
삼선교,서울특별시 성북구 동소문로 10 (동소문동2가),성북구,37.588696,127.0073207
삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",강남구,37.50703529,127.0555503
삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",강남구,37.507794,127.06517
삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동),강남구,37.5097863,127.0579134
삼성역,서울특별시 강남구 테헤란로103길 9 (삼성동),강남구,37.510015,127.063864
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),강남구,37.50775,127.060651
삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),강남구,37.51354184,127.0527183
삼청동,서울특별시 종로구 삼청로 111-1 (삼청동),종로구,37.585381,126.9817512
상계초교사거리,서울 노원구 노원로 449 ,노원구,37.656776,127.066442
상도역,서울특별시 동작구 상도로37길 1 (상도1동),동작구,37.5031936,126.9484581
상봉,"서울특별시 중랑구 상봉로 131 (상봉동, 상봉 듀오트리스 주상복합)",중랑구,37.597842,127.092509
상봉역,"서울특별시 중랑구 망우로 307, ,3,4번지 (상봉동)",중랑구,37.59689,127.08647
상수역,서울특별시 마포구 독막로 88 (상수동),마포구,37.5474817,126.9232158
상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",마포구,37.577623,126.890684
상암MBC,서울특별시 마포구 성암로 267 (상암동),마포구,37.581297,126.890908
상암YTN,서울특별시 마포구 상암산로 76 (상암동),마포구,37.579183,126.892315
상암디지털큐브,서울특별시 마포구 상암산로 34,마포구,37.5763132,126.8892477
상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동),마포구,37.58147,126.888983
상왕십리역,서울특별시 성동구 왕십리로 382 (하왕십리동),성동구,37.565169,127.027907
상일동,"서울특별시 강동구 상일로10길 36, 1~2층 (상일동)",강동구,37.550072,127.174258
새문안로,서울특별시 종로구 새문안로 92 (신문로1가) 광화문오피시아빌딩,종로구,37.5696597,126.9748903
샛강역,서울특별시 영등포구 여의대방로 376 (여의도동),영등포구,37.5183551,126.9312716
서강광흥창역,서울특별시 마포구 서강로 69 (창전동),마포구,37.549377,126.931661
서강대,서울특별시 마포구 백범로 23 (신수동),마포구,37.5524584,126.9378262
서강대프라자,서울특별시 마포구 백범로 35 (신수동),마포구,37.551073,126.943096
서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동),마포구,37.548178,126.941576
서교,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층,마포구,37.551385,126.9169208
서교동사거리,서울특별시 마포구 양화로 105 (서교동),마포구,37.553376,126.918564
서래마을입구,서울특별시 서초구 서래로 48 (반포동),서초구,37.49925284,126.9984801
서소문,서울특별시 중구 서소문로 130 (서소문동),중구,37.5633773,126.9755129
서소문로,서울특별시 중구 서소문로 120 (서소문동) 대한빌딩,중구,37.563006,126.974546
서소문배재,서울특별시 중구 서소문로 99 (서소문동),중구,37.5628481,126.9721664
서울고속터미널,서울특별시 서초구 신반포로 194 (반포동),서초구,37.504406,127.005648
서울교대,"서울특별시 서초구 서초중앙로 64, 1층 (서초동)",서초구,37.487397,127.015134
서울극장,서울특별시 종로구 돈화문로 13 (관수동) 서울극장,종로구,37.56975769,126.9917911
서울대역,서울특별시 관악구 남부순환로 1817 (봉천동),관악구,37.481599,126.9522
서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동),관악구,37.48118,126.951324
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,강남구,37.514887,127.035653
서울숲역,서울시 성동구 왕십리로50 1층 일부,성동구,37.542075,127.044961
서울아트센터,서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩,서초구,37.480866,127.012368
서울여대,서울특별시 노원구 화랑로 621 (공릉동),노원구,37.626163,127.093084
서울역동자동,서울특별시 용산구 한강대로 372 (동자동),용산구,37.551752,126.972694
서울역서부,서울특별시 용산구 만리재로 202 (서계동),용산구,37.555165,126.968446
서울중앙우체국,서울특별시 중구 소공로 70 (충무로 1가) 서울 중앙 우체국,중구,37.561678,126.982117
서울타워,서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층,용산구,37.551102,126.988317
서초구청,서울특별시 서초구 남부순환로 2557 (서초동),서초구,37.484206,127.030103
서초동,"서울특별시 서초구 남부순환로339길 64, 현우빌딩 1층 (서초동)",서초구,37.485941,127.021525
